iter	Passed	Remaining
408	4850	90024
409	4862	90010
410	4874	90000
411	4885	89986
412	4897	89971
413	4909	89955
414	4920	89939
415	4932	89927
416	4944	89915
417	4956	89901
418	4967	89884
419	4979	89871
420	4991	89859
421	5003	89847
422	5015	89834
423	5026	89821
424	5039	89813
425	5051	89804
426	5063	89796
427	5074	89783
428	5086	89769
429	5098	89754
430	5109	89738
431	5121	89727
432	5133	89716
433	5145	89700
434	5156	89682
435	5168	89670
436	5180	89657
437	5192	89643
438	5203	89626
439	5215	89617
440	5228	89613
441	5239	89596
442	5251	89580
443	5263	89572
444	5274	89555
445	5286	89543
446	5298	89529
447	5310	89514
448	5322	89502
449	5333	89488
450	5345	89474
451	5357	89458
452	5369	89453
453	5381	89442
454	5392	89427
455	5404	89416
456	5416	89405
457	5428	89398
458	5440	89385
459	5452	89375
460	5463	89355
461	5475	89344
462	5487	89331
463	5499	89316
464	5511	89307
465	5523	89297
466	5535	89291
467	5547	89277
468	5558	89262
469	5570	89251
470	5582	89241
471	5594	89230
472	5606	89220
473	5618	89210
474	5630	89203
475	5642	89190
476	5654	89181
477	5666	89169
478	5678	89160
479	5690	89146
480	5702	89136
481	5714	89127
482	5726	89116
483	5737	89104
484	5749	89095
485	5761	89082
486	5773	89072
487	5785	89056
488	5797	89046
489	5809	89036
490	5821	89025
491	5833	89012
492	5844	89001
493	5856	88989
494	5868	88975
495	5880	88962
496	5892	88950
497	5903	88936
498	5915	88921
499	5927	88910
500	5939	88898
501	5951	88889
502	5963	88876
503	5974	88865
504	5987	88857
505	5999	88848
506	6011	88841
507	6022	88819
508	6034	88803
509	6045	88788
510	6057	88779
511	6069	88767
512	6081	88760
513	6094	88755
514	6105	88743
515	6117	88731
516	6129	88719
517	6141	88706
518	6153	88692
519	6165	88685
520	6177	88671
521	6188	88657
522	6200	88647
523	6212	88633
524	6224	88620
525	6235	88606
526	6247	88595
527	6259	88583
528	6271	88571
529	6283	88560
530	6295	88545
531	6307	88536
532	6318	88523
533	6330	88511
534	6342	88502
535	6354	88490
536	6366	88479
537	6378	88467
538	6390	88454
539	6402	88443
540	6414	88433
541	6425	88422
542	6437	88409
543	6449	88396
544	6461	88383
545	6473	88369
546	6485	88360
547	6496	88349
548	6508	88338
549	6520	88324
550	6532	88315
551	6545	88314
552	6558	88320
553	6571	88325
554	6584	88324
555	6596	88322
556	6610	88329
557	6623	88333
558	6636	88335
559	6649	88341
560	6662	88342
561	6675	88345
562	6688	88352
563	6701	88357
564	6714	88362
565	6727	88365
566	6740	88368
567	6753	88372
568	6767	88381
569	6779	88373
570	6792	88380
571	6805	88376
572	6819	88394
573	6833	88407
574	6847	88422
575	6861	88436
576	6875	88454
577	6889	88469
578	6904	88488
579	6917	88502
580	6932	88519
581	6946	88535
582	6960	88550
583	6973	88550
584	6987	88569
585	7002	88590
586	7017	88619
587	7032	88648
588	7047	88677
589	7063	88709
590	7078	88735
591	7093	88762
592	7109	88797
593	7124	88826
594	7139	88849
595	7154	88878
596	7169	88899
597	7185	88935
598	7200	88964
599	7216	88998
600	7232	89035
601	7248	89072
602	7263	89105
603	7280	89149
604	7296	89183
605	7312	89219
606	7328	89252
607	7343	89285
608	7359	89321
609	7375	89357
610	7391	89391
611	7408	89432
612	7425	89476
613	7441	89517
614	7457	89550
615	7473	89588
616	7490	89636
617	7507	89679
618	7524	89718
619	7540	89759
620	7557	89800
621	7574	89842
622	7590	89880
623	7607	89930
624	7625	89975
625	7643	90031
626	7660	90083
627	7678	90136
628	7695	90178
629	7712	90228
630	7730	90274
631	7747	90322
632	7764	90370
633	7782	90422
634	7801	90481
635	7819	90534
636	7837	90592
637	7855	90644
638	7873	90700
639	7891	90756
640	7910	90811
641	7927	90862
642	7946	90918
643	7964	90969
644	7982	91022
645	8000	91075
646	8019	91138
647	8037	91191
648	8055	91247
649	8074	91308
650	8093	91362
651	8111	91416
652	8130	91475
653	8148	91529
654	8167	91585
655	8185	91638
656	8204	91696
657	8223	91753
658	8241	91802
659	8259	91852
660	8278	91910
661	8296	91966
