Training X size: (10000, 300)
Trial 127: Permutated mmd = 0.0005950495049509334
Trial 128: Permutated mmd = 0.0005950495049509053
Trial 129: Permutated mmd = 0.0005950495049509254
Trial 130: Permutated mmd = 0.0005950495049509342
Trial 131: Permutated mmd = 0.000595049504950908
Trial 132: Permutated mmd = 0.000595049504950911
Trial 133: Permutated mmd = 0.0005950495049483192
Trial 134: Permutated mmd = 0.0005950495049509355
Trial 135: Permutated mmd = 0.0005950495049509342
Trial 136: Permutated mmd = 0.0005950495049483438
Trial 137: Permutated mmd = 0.0005950495049509266
Trial 138: Permutated mmd = 0.0005950495049509044
Trial 139: Permutated mmd = 0.0005950495049509317
Trial 140: Permutated mmd = 0.0005950495049483711
Trial 141: Permutated mmd = 0.0005950495049483414
Trial 142: Permutated mmd = 0.0005950495049483451
Trial 143: Permutated mmd = 0.0005950495049611491
Trial 144: Permutated mmd = 0.000595049504948342
Trial 145: Permutated mmd = 0.0005950495049509316
Trial 146: Permutated mmd = 0.0005950495049483548
Trial 147: Permutated mmd = 0.0005950495049509367
Trial 148: Permutated mmd = 0.0005950495049509355
Trial 149: Permutated mmd = 0.0005950495049509305
Trial 150: Permutated mmd = 0.000595049504950932
Trial 151: Permutated mmd = 0.0005950495049483457
Trial 152: Permutated mmd = 0.0005950495049509354
Trial 153: Permutated mmd = 0.0005950495049509074
Trial 154: Permutated mmd = 0.000595049504948345
Trial 155: Permutated mmd = 0.0005950495049509095
Trial 156: Permutated mmd = 0.0005950495049483295
Trial 157: Permutated mmd = 0.000595049504950934
Trial 158: Permutated mmd = 0.0005950495049509113
Trial 159: Permutated mmd = 0.0005950495049509144
Trial 160: Permutated mmd = 0.0005950495049509341
Trial 161: Permutated mmd = 0.0005950495049483437
Trial 162: Permutated mmd = 0.000595049504948348
Trial 163: Permutated mmd = 0.0005950495049509109
Trial 164: Permutated mmd = 0.0005950495049509308
Trial 165: Permutated mmd = 0.0005950495049483459
Trial 166: Permutated mmd = 0.0005950495049611659
Trial 167: Permutated mmd = 0.0005950495049509305
Trial 168: Permutated mmd = 0.0005950495049509303
Trial 169: Permutated mmd = 0.000595049504961139
Trial 170: Permutated mmd = 0.0005950495049510283
Trial 171: Permutated mmd = 0.0005950495049509301
Trial 172: Permutated mmd = 0.0005950495049483503
Trial 173: Permutated mmd = 0.0005950495049509505
Trial 174: Permutated mmd = 0.0005950495049509352
Trial 175: Permutated mmd = 0.0005950495049509356
Trial 176: Permutated mmd = 0.0005950495049509354
Trial 177: Permutated mmd = 0.0005950495049483153
Trial 178: Permutated mmd = 0.0005950495049483509
Trial 179: Permutated mmd = 0.0005950495049509069
Trial 180: Permutated mmd = 0.0005950495049483447
Trial 181: Permutated mmd = 0.0005950495049483416
